location_rank,locationbed
1,ikorodu0
2,ikorodu1
3,iyanaipaja1
4,ikorodu2
5,gbagada0
6,ogba1
7,yaba0
9,iyanaipaja4
9,ikorodu3
9,gbagada1
11,ajah1
12,yaba1
13,iyanaipaja2
13,surulere1
15,ikeja1
16,ikorodu4
17,ogba2
18,iyanaipaja3
19,lekki0
20,ogba3
22,surulere0
22,yaba2
22,ajah2
22,surulere2
25,lekki1
26,gbagada2
27,ajah3
27,ikeja2
29,surulere3
30,yaba3
31,gbagada3
31,ikeja0
33,yaba5
35,ikoyi1
35,lekki2
35,ogba4
38,yaba6
38,ikeja3
38,ajah4
40,ogba5
41,gbagada5
43,surulere4
43,gbagada4
43,ajah6
43,lekki3
46,surulere6
47,yaba4
49,ajah7
49,ajah5
49,ikorodu9
49,yaba8
52,lekki4
52,surulere5
54,ikeja8
55,surulere9
55,ikeja4
57,ikoyi2
57,ikeja6
60,lekki5
60,lekki8
60,ikoyi3
62,ikeja5
63,ikoyi4
64,ikeja7
65,lekki6
66,lekki7
67,ikoyi5
